date,comunidad,total,executions_normalized
2014-01-01,Comunidad Valenciana,1988,100.0
2014-04-01,Comunidad Valenciana,2337,117.55533199195172
2014-07-01,Comunidad Valenciana,1732,87.12273641851107
2014-10-01,Comunidad Valenciana,2151,108.19919517102616
2015-01-01,Comunidad Valenciana,2060,103.62173038229376
2015-04-01,Comunidad Valenciana,2224,111.87122736418512
2015-07-01,Comunidad Valenciana,1558,78.3702213279678
2015-10-01,Comunidad Valenciana,1617,81.33802816901408
2016-01-01,Comunidad Valenciana,1232,61.97183098591549
2016-04-01,Comunidad Valenciana,1284,64.58752515090544
2016-07-01,Comunidad Valenciana,986,49.59758551307847
2016-10-01,Comunidad Valenciana,946,47.585513078470825
2017-01-01,Comunidad Valenciana,811,40.794768611670015
2017-04-01,Comunidad Valenciana,555,27.91750503018109
2017-07-01,Comunidad Valenciana,280,14.084507042253522
2017-10-01,Comunidad Valenciana,501,25.201207243460765
2018-01-01,Comunidad Valenciana,431,21.680080482897385
2018-04-01,Comunidad Valenciana,428,21.52917505030181
2018-07-01,Comunidad Valenciana,250,12.575452716297786
2018-10-01,Comunidad Valenciana,365,18.36016096579477
2019-01-01,Comunidad Valenciana,338,17.002012072434606
2019-04-01,Comunidad Valenciana,287,14.43661971830986
2019-07-01,Comunidad Valenciana,243,12.223340040241448
2019-10-01,Comunidad Valenciana,327,16.448692152917506
2020-01-01,Comunidad Valenciana,377,18.963782696177063
2020-04-01,Comunidad Valenciana,208,10.46277665995976
2020-07-01,Comunidad Valenciana,470,23.641851106639837
2020-10-01,Comunidad Valenciana,854,42.95774647887324
2021-01-01,Comunidad Valenciana,733,36.87122736418511
2021-04-01,Comunidad Valenciana,762,38.329979879275655
2021-07-01,Comunidad Valenciana,590,29.678068410462778
2021-10-01,Comunidad Valenciana,793,39.88933601609658
2022-01-01,Comunidad Valenciana,747,37.57545271629779
2022-04-01,Comunidad Valenciana,817,41.096579476861166
