date,Euribor,euribor_normalizado
2006-02-01,2.91,100.0
2006-03-01,3.11,106.87285223367698
2006-04-01,3.22,110.65292096219932
2006-05-01,3.31,113.74570446735395
2006-06-01,3.4,116.83848797250857
2006-07-01,3.54,121.64948453608247
2006-08-01,3.62,124.39862542955326
2006-09-01,3.72,127.83505154639174
2006-10-01,3.8,130.58419243986253
2006-11-01,3.86,132.64604810996562
2006-12-01,3.92,134.7079037800687
2007-01-01,4.06,139.51890034364257
2007-02-01,4.09,140.54982817869416
2007-03-01,4.11,141.23711340206185
2007-04-01,4.25,146.04810996563572
2007-05-01,4.37,150.17182130584192
2007-06-01,4.51,154.98281786941578
2007-07-01,4.56,156.70103092783503
2007-08-01,4.67,160.48109965635737
2007-09-01,4.72,162.19931271477662
2007-10-01,4.65,159.7938144329897
2007-11-01,4.61,158.4192439862543
2007-12-01,4.79,164.60481099656357
2008-01-01,4.5,154.63917525773195
2008-02-01,4.35,149.4845360824742
2008-03-01,4.59,157.7319587628866
2008-04-01,4.82,165.63573883161513
2008-05-01,4.99,171.47766323024055
2008-06-01,5.36,184.19243986254295
2008-07-01,5.39,185.22336769759448
2008-08-01,5.32,182.81786941580756
2008-09-01,5.38,184.87972508591065
2008-10-01,5.25,180.4123711340206
2008-11-01,4.35,149.4845360824742
2008-12-01,3.45,118.55670103092784
2009-01-01,2.62,90.03436426116839
2009-02-01,2.14,73.53951890034365
2009-03-01,1.91,65.63573883161511
2009-04-01,1.77,60.824742268041234
2009-05-01,1.64,56.357388316151194
2009-06-01,1.61,55.32646048109966
2009-07-01,1.41,48.45360824742267
2009-08-01,1.33,45.70446735395189
2009-09-01,1.26,43.298969072164944
2009-10-01,1.24,42.61168384879725
2009-11-01,1.23,42.2680412371134
2009-12-01,1.24,42.61168384879725
2010-01-01,1.23,42.2680412371134
2010-02-01,1.23,42.2680412371134
2010-03-01,1.22,41.924398625429546
2010-04-01,1.23,42.2680412371134
2010-05-01,1.25,42.955326460481096
2010-06-01,1.28,43.986254295532646
2010-07-01,1.37,47.07903780068728
2010-08-01,1.42,48.79725085910652
2010-09-01,1.42,48.79725085910652
2010-10-01,1.5,51.546391752577314
2010-11-01,1.54,52.92096219931272
2010-12-01,1.53,52.57731958762887
2011-01-01,1.55,53.264604810996566
2011-02-01,1.71,58.762886597938135
2011-03-01,1.92,65.97938144329896
2011-04-01,2.09,71.82130584192439
2011-05-01,2.15,73.88316151202748
2011-06-01,2.14,73.53951890034365
2011-07-01,2.18,74.91408934707904
2011-08-01,2.1,72.16494845360825
2011-09-01,2.07,71.13402061855669
2011-10-01,2.11,72.50859106529208
2011-11-01,2.04,70.10309278350515
2011-12-01,2.0,68.72852233676976
2012-01-01,1.84,63.230240549828174
2012-02-01,1.68,57.73195876288659
2012-03-01,1.5,51.546391752577314
2012-04-01,1.37,47.07903780068728
2012-05-01,1.27,43.6426116838488
2012-06-01,1.22,41.924398625429546
2012-07-01,1.06,36.42611683848797
2012-08-01,0.88,30.240549828178693
2012-09-01,0.74,25.42955326460481
2012-10-01,0.65,22.33676975945017
2012-11-01,0.59,20.274914089347078
2012-12-01,0.55,18.900343642611684
2013-01-01,0.58,19.93127147766323
2013-02-01,0.59,20.274914089347078
2013-03-01,0.55,18.900343642611684
2013-04-01,0.53,18.213058419243985
2013-05-01,0.48,16.49484536082474
2013-06-01,0.51,17.525773195876287
2013-07-01,0.53,18.213058419243985
2013-08-01,0.54,18.556701030927837
2013-09-01,0.54,18.556701030927837
2013-10-01,0.54,18.556701030927837
2013-11-01,0.51,17.525773195876287
2013-12-01,0.54,18.556701030927837
2014-01-01,0.56,19.243986254295535
2014-02-01,0.55,18.900343642611684
2014-03-01,0.58,19.93127147766323
2014-04-01,0.6,20.618556701030926
2014-05-01,0.59,20.274914089347078
2014-06-01,0.51,17.525773195876287
2014-07-01,0.49,16.838487972508588
2014-08-01,0.47,16.151202749140893
2014-09-01,0.36,12.371134020618555
2014-10-01,0.34,11.683848797250858
2014-11-01,0.34,11.683848797250858
2014-12-01,0.33,11.34020618556701
2015-01-01,0.3,10.309278350515463
2015-02-01,0.26,8.934707903780069
2015-03-01,0.21,7.216494845360824
2015-04-01,0.18,6.185567010309278
2015-05-01,0.17,5.841924398625429
2015-06-01,0.16,5.498281786941581
2015-07-01,0.17,5.841924398625429
2015-08-01,0.16,5.498281786941581
2015-09-01,0.15,5.154639175257731
2015-10-01,0.13,4.4673539518900345
2015-11-01,0.08,2.7491408934707904
2015-12-01,0.06,2.0618556701030926
2016-01-01,0.04,1.3745704467353952
2016-02-01,-0.01,-0.3436426116838488
2016-03-01,-0.01,-0.3436426116838488
2016-04-01,-0.01,-0.3436426116838488
2016-05-01,-0.01,-0.3436426116838488
2016-06-01,-0.03,-1.0309278350515463
2016-07-01,-0.06,-2.0618556701030926
2016-08-01,-0.05,-1.718213058419244
2016-09-01,-0.06,-2.0618556701030926
2016-10-01,-0.07,-2.405498281786942
2016-11-01,-0.07,-2.405498281786942
2016-12-01,-0.08,-2.7491408934707904
2017-01-01,-0.1,-3.436426116838488
2017-02-01,-0.11,-3.7800687285223367
2017-03-01,-0.11,-3.7800687285223367
2017-04-01,-0.12,-4.123711340206185
2017-05-01,-0.13,-4.4673539518900345
2017-06-01,-0.15,-5.154639175257731
2017-07-01,-0.15,-5.154639175257731
2017-08-01,-0.16,-5.498281786941581
2017-09-01,-0.17,-5.841924398625429
2017-10-01,-0.18,-6.185567010309278
2017-11-01,-0.19,-6.529209621993128
2017-12-01,-0.19,-6.529209621993128
2018-01-01,-0.19,-6.529209621993128
2018-02-01,-0.19,-6.529209621993128
2018-03-01,-0.19,-6.529209621993128
2018-04-01,-0.19,-6.529209621993128
2018-05-01,-0.19,-6.529209621993128
2018-06-01,-0.18,-6.185567010309278
2018-07-01,-0.18,-6.185567010309278
2018-08-01,-0.17,-5.841924398625429
2018-09-01,-0.17,-5.841924398625429
2018-10-01,-0.15,-5.154639175257731
2018-11-01,-0.15,-5.154639175257731
2018-12-01,-0.13,-4.4673539518900345
2019-01-01,-0.12,-4.123711340206185
2019-02-01,-0.11,-3.7800687285223367
2019-03-01,-0.11,-3.7800687285223367
2019-04-01,-0.11,-3.7800687285223367
2019-05-01,-0.13,-4.4673539518900345
2019-06-01,-0.19,-6.529209621993128
2019-07-01,-0.28,-9.621993127147768
2019-08-01,-0.36,-12.371134020618555
2019-09-01,-0.34,-11.683848797250858
2019-10-01,-0.3,-10.309278350515463
2019-11-01,-0.27,-9.278350515463918
2019-12-01,-0.26,-8.934707903780069
2020-01-01,-0.25,-8.59106529209622
2020-02-01,-0.29,-9.965635738831615
2020-03-01,-0.27,-9.278350515463918
2020-04-01,-0.11,-3.7800687285223367
2020-05-01,-0.08,-2.7491408934707904
2020-06-01,-0.15,-5.154639175257731
2020-07-01,-0.28,-9.621993127147768
2020-08-01,-0.36,-12.371134020618555
2020-09-01,-0.42,-14.432989690721648
2020-10-01,-0.47,-16.151202749140893
2020-11-01,-0.48,-16.49484536082474
2020-12-01,-0.5,-17.18213058419244
2021-01-01,-0.51,-17.525773195876287
2021-02-01,-0.5,-17.18213058419244
2021-03-01,-0.49,-16.838487972508588
2021-04-01,-0.48,-16.49484536082474
2021-05-01,-0.48,-16.49484536082474
2021-06-01,-0.48,-16.49484536082474
2021-07-01,-0.49,-16.838487972508588
2021-08-01,-0.5,-17.18213058419244
2021-09-01,-0.49,-16.838487972508588
2021-10-01,-0.48,-16.49484536082474
2021-11-01,-0.49,-16.838487972508588
2021-12-01,-0.5,-17.18213058419244
2022-01-01,-0.48,-16.49484536082474
2022-02-01,-0.34,-11.683848797250858
2022-03-01,-0.24,-8.24742268041237
2022-04-01,0.01,0.3436426116838488
2022-05-01,0.29,9.965635738831615
2022-06-01,0.85,29.209621993127143
2022-07-01,0.99,34.020618556701024
2022-08-01,1.25,42.955326460481096
2022-09-01,2.23,76.63230240549828
