,Localidad,precio,maximo,Variacion_trimestral(%),Variacion_anual(%),Variacion_Maximo(%)
0,Comunitat Valenciana,8.9,9.4,4.8,15.8,-4.9
1,Alicante/Alacant,8.5,9.2,3.1,17.1,-8.2
2,Alicante / Alacant,9.0,9.0,8.3,21.3,0.0
3,Benalua-La Florida-Babel-San Gabriel,7.7,7.7,8.2,15.4,0.0
4,Campoamor-Carolinas-Altozano,8.0,8.0,11.1,23.2,0.0
5,Centro,9.5,9.5,6.5,19.8,0.0
6,Parque Avenidas-Vistahermosa,7.8,7.8,4.3,10.3,0.0
7,Plà del Bon Repòs-La Goleta-San Antón,9.1,9.2,8.9,21.9,-0.8
8,Playa de San Juan-El Cabo,10.4,10.4,6.0,16.6,0.0
9,San Blas-Pau,8.5,8.7,-0.3,22.4,-2.8
10,Virgen del Remedio-Juan Xxiii,6.4,6.5,3.5,26.6,-1.5
11,Alcoy / Alcoi,5.9,5.9,2.2,16.4,0.0
12,Centro - Zona Alta,6.5,6.5,0.4,11.9,0.0
13,Alfaz del Pi,10.5,10.5,10.8,13.0,0.0
14,L'Albir-Zona Playa,11.0,11.0,7.8,14.3,0.0
15,Altea,9.8,10.0,-1.2,23.7,-2.2
16,Altea la Vella,9.6,9.6,0.0,0.0,0.0
17,Altea Pueblo,9.8,9.9,4.0,17.2,-0.7
18,Zona de Mascarat,9.6,11.1,-13.3,17.2,-13.3
19,Arenales del Sol,8.4,10.0,-2.4,9.0,-15.2
20,Benidorm,11.0,11.2,10.6,20.0,-1.4
21,Playa de Levante,11.4,11.7,3.9,14.3,-2.0
22,Playa de Poniente,12.2,13.3,5.2,16.5,-8.1
23,Rincón de Loix,11.0,11.0,9.9,19.3,0.0
24,Cala de Villajoyosa,9.3,9.3,1.1,18.7,0.0
25,Calpe,9.8,9.8,7.5,15.9,-0.3
26,Denia,9.3,9.5,7.0,22.8,-1.9
27,Les Marines/Las Marinas,9.5,10.1,2.2,14.3,-5.7
28,El Campello,9.9,10.3,-0.7,22.6,-3.8
29,Campello Playa,8.9,10.3,0.0,14.3,-13.4
30,Playa Muchavista,11.0,11.1,3.9,24.9,-1.3
31,Elche / Elx,6.2,6.3,1.3,8.9,-1.7
32,Elche Ciudad,6.2,6.2,2.0,10.0,-0.8
33,Elda,5.2,5.6,3.5,16.3,-7.3
34,Finestrat,13.1,14.5,-9.9,70.0,-9.9
35,Gran Alacant,8.4,9.1,15.5,23.1,-7.4
36,Guardamar del Segura,8.0,8.0,6.1,21.2,-0.3
37,Guardamar Playa,8.0,9.4,2.5,10.5,-14.0
38,Jávea/Xàbia,9.8,9.9,2.8,19.4,-1.3
39,Centro Ciudad,9.3,9.5,9.0,32.4,-1.5
40,Montañar-El Arenal,9.9,10.1,2.8,10.1,-1.5
41,La Mata,8.1,9.1,0.0,7.7,-11.4
42,La Nucia,7.8,7.9,15.2,26.5,-1.1
43,La Villajoyosa / Vila Joiosa,8.5,9.4,10.9,1.9,-10.1
44,Mutxamel,7.3,7.6,-4.2,6.9,-4.2
45,Orihuela,7.5,7.9,-2.7,4.8,-4.3
46,Orihuela Costa,8.4,8.6,-1.7,8.6,-2.5
47,Orihuela Pueblo,5.1,5.2,-1.7,6.5,-1.7
48,Pilar de la Horadada,7.5,8.8,-12.2,21.3,-14.6
49,Torre de la Horadada,8.0,9.2,0.0,10.4,-13.3
50,San Juan de Alicante,7.2,7.2,-0.3,15.2,-0.3
51,Centro,7.1,7.1,2.2,12.9,0.0
52,San Vicente del Raspeig,7.2,7.2,5.6,12.1,-0.5
53,Alcalde Felipe Mallol,7.1,7.4,2.1,15.5,-3.3
54,Centro,7.1,7.5,-0.6,9.0,-5.3
55,Santa Pola,8.8,10.7,-6.7,17.7,-17.9
56,Tamarit - Playa Lissa,10.0,11.2,0.0,0.0,-10.0
57,Torrevieja,8.0,8.4,2.1,18.7,-4.7
58,Centro,8.0,8.0,10.5,27.1,0.0
59,El Acequión - Los Naúfragos,8.1,9.4,-8.6,16.9,-14.7
60,Nueva Torrevieja - Aguas Nuevas,8.3,8.5,7.6,20.0,-3.1
61,Playa de los Locos,8.0,8.4,-2.8,14.1,-4.4
62,Playa del Cura,7.6,8.0,3.2,15.7,-5.4
63,Castellón/Castelló,7.1,8.3,-1.3,11.1,-15.2
64,Castellón de la Plana / Castello de la Plana,6.8,6.8,2.8,8.7,0.0
65,Centro,6.9,7.2,11.2,12.3,-4.2
66,Este,6.5,6.6,3.9,5.4,-2.3
67,Norte,7.2,7.4,-0.1,16.9,-2.0
68,Oeste,7.0,7.4,1.8,5.1,-4.9
69,Sur,6.4,7.1,-2.4,3.0,-8.6
70,Alcossebre,8.9,8.9,1.3,12.6,0.0
71,Benicarló,6.2,6.2,0.0,5.1,0.0
72,Benicasim/Benicàssim,9.2,11.7,-15.2,14.0,-21.2
73,Burriana,5.9,5.9,0.0,19.3,0.0
74,Moncófar,8.2,8.3,7.9,21.9,-1.6
75,Moncófar playa,8.5,9.2,5.3,18.2,-7.8
76,Oropesa del Mar,7.3,8.3,-3.8,6.4,-11.8
77,Marina d'Or,7.1,7.5,-2.9,3.8,-4.8
78,Peñíscola,7.5,8.6,-5.7,13.5,-12.9
79,Vinarós,5.9,6.3,0.0,-6.3,-6.5
80,Casco Urbano,6.0,6.6,0.0,-9.7,-9.7
81,Valencia/Valéncia,9.6,9.7,6.9,15.8,-1.5
82,València,10.5,10.5,5.6,18.1,0.0
83,Algirós,10.1,10.1,1.1,16.9,0.0
84,Benicalap,9.8,9.8,7.7,18.5,0.0
85,Benimaclet,9.1,9.4,-1.8,8.6,-2.4
86,Camins al Grau,10.4,10.4,4.0,16.1,0.0
87,Campanar,10.0,10.0,3.3,8.5,0.0
88,Ciutat Vella,13.9,13.9,12.2,26.6,0.0
89,El Pla del Real,10.7,10.7,6.7,18.5,0.0
90,Extramurs,10.7,10.7,6.7,22.0,0.0
91,Jesús,8.0,8.2,0.0,8.9,-2.5
92,L'Eixample,12.5,12.5,10.8,25.0,0.0
93,L'Olivereta,9.2,9.2,6.8,20.1,0.0
94,La Saïdia,9.6,9.6,1.0,18.9,0.0
95,Patraix,8.7,8.7,2.7,11.4,-0.3
96,Poblats Marítims,10.8,10.8,1.2,18.9,0.0
97,Quatre Carreres,10.4,10.4,14.7,24.0,0.0
98,Rascanya,9.3,9.3,4.4,16.8,0.0
99,Alboraya,14.4,15.3,4.8,32.5,-6.3
100,La Patacona,17.1,17.8,7.2,49.8,-4.0
101,Bétera,9.6,9.6,19.8,42.8,0.0
102,Torre en Conill-Cumbres de San Antonio,10.9,10.9,16.2,33.1,0.0
103,Burjassot,7.2,7.5,-0.8,7.8,-4.4
104,Zona Campus Universitario,6.8,7.5,0.0,0.8,-9.3
105,Zona Concordia,7.1,8.4,-10.6,7.2,-15.8
106,Canet d'En Berenguer,10.6,11.7,-7.8,26.1,-9.3
107,Cullera,8.8,9.9,-7.5,3.0,-11.3
108,Sant Antoni,9.2,10.7,-7.2,3.0,-14.4
109,Gandia,7.1,7.1,10.5,13.3,0.0
110,Centro Ciudad,5.9,5.9,9.7,11.3,0.0
111,Grau de Gandia - Venecia - Marenys,7.0,7.0,0.0,0.0,0.0
112,Playa de Gandia,9.3,9.3,4.3,21.7,0.0
113,Godella,8.3,9.6,0.8,18.4,-14.0
114,L'Eliana,7.9,8.2,3.4,20.1,-2.9
115,La Pobla de Vallbona,8.0,8.2,15.6,34.8,-2.0
116,Manises,7.2,7.5,-1.7,4.9,-4.8
117,Mislata,8.7,8.7,2.8,21.7,0.0
118,Moncada,7.9,8.1,-2.5,11.3,-2.5
119,Náquera,10.9,10.9,66.9,0.0,0.0
120,Oliva,7.9,8.5,6.4,27.7,-7.3
121,Oliva Nova,9.6,9.6,11.8,14.5,0.0
122,Ontinyent,4.5,4.7,0.0,-1.7,-4.2
123,Paterna,7.8,7.8,1.9,9.2,0.0
124,Playa de Farnals,12.2,12.2,21.8,0.0,0.0
125,Playa Puig,10.2,10.3,0.0,0.0,-0.7
126,Puçol,8.4,8.4,16.0,18.3,0.0
127,Puerto de Sagunto,7.1,7.1,7.7,21.1,0.0
128,Riba-Roja de Túria,6.8,7.1,-1.5,0.0,-4.8
129,Sagunto/Sagunt,6.6,6.6,8.4,0.0,0.0
130,Torrent,7.4,7.4,2.2,12.9,0.0
131,Zona Avenida al Vedat,7.5,7.8,-4.4,24.9,-4.4
132,Xirivella,8.3,8.3,9.1,27.1,0.0
